Doenca,Fumo,Falta de força,Dificuldade em pegar
Pistons,1,1,0
Eletrico,0,0,1
Pistons,1,1,1
Pistons,0,1,0
Pistons,1,0,0
Injetores,1,0,1
Pistons,1,1,0
Injetores,1,1,1
Pistons,1,1,0
Injetores,0,0,1
Pistons,1,1,0
Injetores,0,0,0
Eletrico,1,1,0
Pistons,1,1,1
Eletrico,0,0,1
Pistons,0,1,0
Pistons,0,1,0
Pistons,1,1,0
Eletrico,1,1,1
Eletrico,0,0,1
Eletrico,0,0,1
Eletrico,0,0,1
Injetores,1,0,1
Pistons,0,1,0
Injetores,1,0,0
Pistons,1,1,0
Eletrico,0,0,1
Eletrico,0,0,0
Pistons,1,1,0
Eletrico,0,0,1
Injetores,1,0,0
Eletrico,1,0,0
Pistons,1,1,0
Pistons,0,1,0
Pistons,1,1,1
Eletrico,0,0,1
Pistons,1,1,0
Eletrico,0,0,1
Injetores,1,1,0
Pistons,0,1,1
Pistons,1,0,0
Injetores,1,1,0
Eletrico,1,0,1
Pistons,1,1,0
Eletrico,1,0,0
Pistons,1,1,0
Eletrico,0,0,0
Pistons,1,1,0
Injetores,0,1,1
Eletrico,0,0,0
Eletrico,0,0,0
Pistons,1,1,0
Injetores,1,0,0
Injetores,0,0,1
Injetores,1,0,1
Eletrico,0,0,1
Injetores,1,0,0
Pistons,1,1,0
Eletrico,0,0,1
Eletrico,0,0,0
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,1,1,0
Eletrico,1,0,1
Pistons,0,1,1
Pistons,1,0,1
Pistons,1,1,0
Pistons,1,1,0
Eletrico,0,0,1
Eletrico,1,0,1
Eletrico,1,0,0
Pistons,0,1,0
Injetores,1,0,0
Eletrico,1,0,1
Eletrico,1,0,1
Eletrico,0,0,1
Eletrico,0,1,0
Eletrico,0,1,0
Pistons,1,1,1
Pistons,0,1,0
Injetores,1,0,1
Eletrico,0,0,1
Pistons,0,1,0
Injetores,0,1,0
Injetores,1,0,0
Pistons,1,1,0
Injetores,1,0,0
Pistons,1,1,0
Pistons,0,1,1
Pistons,0,1,0
Pistons,1,1,0
Injetores,1,0,0
Injetores,1,0,0
Pistons,1,1,0
Injetores,1,0,1
Pistons,1,1,0
Pistons,0,1,0
Injetores,1,0,0
Eletrico,1,0,1
Eletrico,0,0,0
Eletrico,0,1,1
Pistons,1,1,0
Eletrico,0,0,1
Eletrico,1,0,1
Pistons,0,1,0
Injetores,1,0,0
Injetores,1,1,0
Pistons,0,1,1
Pistons,1,1,0
Pistons,0,1,0
Eletrico,0,0,1
Pistons,1,1,1
Pistons,0,1,0
Pistons,1,1,1
Eletrico,0,1,1
Injetores,1,0,0
Injetores,1,0,0
Eletrico,1,0,1
Eletrico,0,0,0
Eletrico,0,0,1
Pistons,0,0,0
Injetores,1,1,0
Pistons,0,1,0
Eletrico,0,0,1
Injetores,1,0,0
Pistons,1,1,0
Injetores,1,0,0
Pistons,1,1,0
Eletrico,1,0,1
Pistons,0,1,0
Pistons,1,1,0
Pistons,1,1,0
Injetores,1,1,1
Injetores,0,1,0
Eletrico,1,0,0
Eletrico,0,0,1
Eletrico,1,0,1
Pistons,0,1,0
Pistons,0,1,0
Eletrico,0,1,1
Eletrico,1,0,1
Pistons,1,1,0
Eletrico,1,0,1
Pistons,0,1,0
Pistons,1,1,0
Injetores,1,0,1
Eletrico,0,1,0
Injetores,1,1,1
Pistons,1,1,0
Pistons,1,1,0
Pistons,1,1,0
Eletrico,0,1,1
Injetores,1,1,0
Eletrico,0,1,1
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,1,1,1
Eletrico,0,0,1
Injetores,1,1,0
Pistons,1,1,0
Eletrico,0,0,0
Pistons,0,0,1
Pistons,0,1,0
Eletrico,0,0,1
Eletrico,0,0,0
Pistons,1,1,1
Eletrico,0,0,1
Injetores,0,0,0
Injetores,1,1,1
Eletrico,0,0,1
Pistons,1,1,0
Pistons,0,1,0
Pistons,1,1,0
Injetores,1,1,0
Pistons,0,1,0
Pistons,0,1,0
Pistons,1,1,0
Eletrico,1,0,1
Pistons,0,1,0
Pistons,0,1,1
Injetores,1,1,0
Pistons,0,1,0
Eletrico,0,0,1
Injetores,1,1,1
Injetores,1,1,1
Eletrico,0,0,1
Injetores,1,0,0
Eletrico,1,0,1
Eletrico,0,0,1
Pistons,1,1,0
Injetores,1,1,1
Eletrico,0,0,0
Pistons,1,1,0
Pistons,1,1,0
Eletrico,0,0,1
Injetores,0,0,1
Eletrico,0,0,1
Eletrico,0,0,0
Injetores,1,0,0
Injetores,1,0,0
Eletrico,1,0,1
Pistons,0,1,0
Injetores,1,0,1
Pistons,1,1,0
Pistons,0,1,0
Pistons,1,1,0
Pistons,1,1,1
Injetores,0,0,0
Injetores,1,0,0
Eletrico,0,0,0
Eletrico,0,0,1
Injetores,1,1,1
Injetores,1,0,0
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,1,1,0
Pistons,1,1,1
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,0,1,0
Pistons,1,0,0
Pistons,1,1,0
Pistons,0,1,0
Injetores,1,0,0
Pistons,1,1,0
Pistons,0,1,0
Pistons,1,1,1
Injetores,1,1,1
Injetores,1,1,0
Eletrico,0,0,1
Eletrico,0,0,1
Eletrico,0,1,0
Injetores,1,0,1
Eletrico,0,0,0
Injetores,1,0,0
Eletrico,0,0,0
Pistons,1,1,0
Pistons,0,1,1
Pistons,1,1,0
Eletrico,0,0,1
Pistons,1,1,0
Eletrico,0,0,0
Injetores,0,0,1
Pistons,1,1,0
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,0,1,0
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,0,1,0
Eletrico,0,0,1
Pistons,1,1,0
Injetores,1,0,0
Pistons,1,1,0
Pistons,1,1,0
Eletrico,0,0,1
Injetores,1,1,1
Pistons,1,1,0
Pistons,1,1,0
Pistons,1,1,0
Eletrico,0,0,1
Pistons,1,1,0
Eletrico,0,1,1
Eletrico,1,0,1
Pistons,0,0,0
Pistons,0,1,0
Eletrico,0,0,1
Eletrico,0,0,1
Pistons,1,1,0
Pistons,1,1,1
Eletrico,0,0,1
Injetores,1,0,1
Pistons,0,1,0
Pistons,0,0,0
Pistons,1,1,0
Eletrico,0,0,1
Eletrico,0,0,1
Injetores,1,0,0
Pistons,1,1,0
Pistons,0,1,0
Pistons,0,1,1
Eletrico,0,0,1
Pistons,1,0,0
Injetores,1,0,1
Eletrico,0,1,1
Eletrico,0,0,1
Eletrico,0,0,1
Injetores,1,0,0
Injetores,0,0,0
Eletrico,0,0,1
Injetores,1,0,1
Eletrico,0,0,1
Pistons,1,1,0
Pistons,1,1,0
Eletrico,0,0,1
Injetores,1,0,1
Eletrico,0,0,1
Pistons,0,1,0
Eletrico,0,0,0
Injetores,0,0,0
Pistons,0,1,0
Injetores,0,0,0
Injetores,1,1,1
Eletrico,0,0,1
Eletrico,0,0,1
Eletrico,0,0,1
Injetores,0,0,0
Eletrico,0,1,1
Eletrico,0,0,1
