Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Sátão,2010,12548,0,14.4,63.8,21.8,152,92,0.7,0,168,0,-84,68,24,0,3,9257,40,17,9,2,3,1,1978,0,0,0,0,1,4.4,1061,2364,12,23,707,4,2,6,3784,447,39,635,651,8,187,8703.6,9177.1,474,77.9,19.4,2162.6,20.1,4,2,17.9,33.1,13.8,15.0,11.7, 0.7,7.9
Seia,2010,24930,0,11.2,64.8,23.9,214,301,1.2,0,354,0,-184,117,47,1,10,17707,30,31,17,5,6,2,4602,1,375,2,0,1,18.3,2138,5670,13,47,816,10,4,29,9794,980,49,1064,1650,10,288,18340.6,19255,914,66.4,29.2,3244.7,33.5,11,2,14.1,37.0,10.6,16.1,12.6, 0.8,8.8
Seixal,2010,157928,0,16.3,69.5,14.2,87,10433,6.6,0,1125,0,811,521,528,0,33,79180,201,77,45,10,16,7,28436,0,0,1,171,7,12.9,15128,33556,5,31,1098,55,1,167,32269,9851,32,5037,7363,7,1694,76573.4,81607,5034,22.5,38.8,6341.7,56.1,10,0,6.5,23.2,11.9,23.4,20.2, 1.2,13.6
Sernancelhe,2010,5716,0,13.2,61.4,25.4,192,39,0.7,0,68,0,-33,24,7,0,2,4469,17,10,4,1,1,1,819,0,0,0,0,0,6.7,497,1148,18,39,700,2,2,4,1977,184,44,304,219,6,103,8240.1,8121.6,-119,83.7,20.5,3106.6,48.3,9,0,17.2,37.3,12.1,15.0,12.5, 0.7,5.2
Serpa,2010,15756,0,12.8,62.1,25.1,196,275,1.7,0,257,0,-164,29,29,1,5,10321,12,8,10,3,5,2,2709,0,0,0,180,1,22.3,1613,3004,4,14,802,4,4,14,5852,785,48,1005,909,9,341,19889.9,17981.2,-1909,73,24.7,3015.8,32.2,2,4,20.4,28.4,13.0,18.0,12.1, 0.7,7.5
Sertã,2010,15977,0,13.2,59,27.7,209,184,1.2,0,216,0,-110,59,30,0,4,11939,56,11,10,3,4,3,2924,0,0,0,0,0,15.1,1475,4001,9,17,794,8,3,15,5796,585,46,667,585,6,322,14100.1,14490.9,391,76.4,22.7,3053.3,3.9,10,4,18.6,34.0,9.8,17.5,12.8, 1.2,5.9
Sesimbra,2010,48928,0,18.3,66.5,15.2,83,2287,4.7,0,454,0,173,173,143,0,8,31724,118,22,17,5,6,2,7940,0,0,1,137,1,9.1,5121,10912,7,16,915,20,2,54,10431,1897,30,1210,1832,6,1016,36781.4,37334.5,553,17.8,40.1,3222.2,63.7,14,5,7.7,23.2,12.6,22.9,19.6, 1.4,12.6
Setúbal,2010,120950,0,16.7,66,17.2,103,7950,6.6,0,1165,0,183,434,345,3,30,62594,149,55,43,9,11,8,24198,4,5481,5,387,5,10.5,12402,35071,10,35,1184,58,3,145,30835,7204,38,6117,6852,9,1419,56387,57752.5,1366,28.3,49.7,11801.9,44.7,14,15,8.8,22.6,11.4,22.1,18.9, 1.1,15.0
Sever do Vouga,2010,12449,0,13.4,64.2,22.4,167,178,1.4,0,137,0,-60,40,26,0,5,6983,19,12,11,1,2,1,2495,0,0,0,0,0,9.6,1295,3870,12,29,873,5,1,12,3918,421,40,176,475,6,129,7757.8,8124.6,367,73.7,28.7,2823,54.9,6,1,11.3,31.5,16.1,18.6,12.9, 0.9,8.7
Silves,2010,36993,0,14.4,63.2,22.5,156,5387,14.6,0,436,0,-80,118,93,1,12,32523,76,15,16,5,6,3,5566,1,576,2,0,0,10.5,4310,8754,3,9,887,17,8,52,10328,1521,37,1388,2018,9,774,31077.4,32572.5,1495,42.1,57.8,4243.8,148.7,8,9,13.1,26.6,12.3,21.6,16.6, 1.0,8.7
Sines,2010,14225,0,14.4,69.5,16.1,112,1230,8.6,0,156,0,-4,47,40,0,3,8282,45,8,4,1,2,2,2729,0,0,1,98,1,8.1,1500,6257,19,62,1611,9,2,23,3319,741,33,787,673,7,516,20419.5,23393.4,2974,31.5,31.2,63189,65.9,7,8,10.5,25.8,12.3,21.5,18.1, 1.4,10.3
Sintra,2010,377301,0,17.9,68.9,13.2,74,37133,9.8,0,2456,0,2023,1015,1104,4,66,182349,377,189,129,28,33,12,66580,4,628,7,353,9,9.5,38211,118402,10,20,1144,158,3,432,71408,20305,30,14220,18592,7,2796,158999.7,148167.6,-10832,38,39,2901.4,192.3,14,15,5.9,20.6,12.6,24.5,21.5, 1.3,13.6
Sobral de Monte Agraço,2010,10113,0,16.9,66.5,16.7,99,420,4.2,0,122,0,-6,74,18,0,3,5283,27,8,9,1,1,1,1459,0,0,0,31,1,20,1099,2786,8,13,801,6,3,11,2554,330,34,260,346,5,173,7418,7864.2,446,59.1,36.3,2858.6,44,5,0,11.2,28.9,14.3,19.0,15.6, 1.1,9.8
Soure,2010,19405,0,12.2,60.8,27,222,258,1.3,0,293,0,-171,59,51,1,9,11732,33,18,12,2,2,3,3253,0,0,0,0,0,10.8,1540,3040,7,27,834,4,4,17,7492,878,49,397,716,6,266,12139.9,12852.5,713,67.4,16.6,4075.4,45.3,8,0,18.9,29.8,9.1,18.3,15.2, 0.9,7.8
Sousel,2010,5139,0,12.9,56.6,30.5,236,92,1.8,0,93,0,-59,6,7,0,4,3737,4,5,4,1,1,0,786,0,0,0,0,0,16,570,1280,14,22,755,3,3,7,2276,236,57,289,217,7,144,6338.7,5982.2,-356,77.2,11.1,3878.3,65.4,3,0,20.2,31.2,11.3,18.3,11.6, 0.6,6.9
Tábua,2010,12152,0,14.2,62.5,23.3,165,294,2.4,0,175,0,-93,35,23,0,5,8704,11,12,4,2,2,2,1871,0,0,0,0,0,12.7,1029,3370,29,33,734,4,2,13,4121,381,43,644,487,6,203,9351.6,8619.8,-732,78.9,27.6,2969.5,21.7,4,1,15.1,36.0,11.8,18.6,11.5, 0.8,6.1
Tabuaço,2010,6396,0,12.9,63.9,23.2,179,39,0.6,0,81,0,-53,18,14,0,2,4398,16,8,6,1,1,1,828,0,0,1,0,0,14.9,451,975,19,31,803,2,3,4,1773,220,36,368,380,9,170,13610.2,7931.1,-5679,82.5,16.4,1988.1,35.6,5,1,17.3,35.5,13.9,16.6,11.0, 0.4,5.2
Tarouca,2010,8099,0,16.2,64.2,19.6,121,70,0.9,0,96,0,-33,36,25,0,2,6905,27,3,1,1,1,1,1210,0,0,0,0,0,10.4,661,2131,33,25,720,4,1,6,2202,266,36,690,487,9,263,14274.3,8324.3,-5950,78.5,20.2,2350.9,42.5,4,0,14.6,35.1,15.0,16.8,11.6, 0.5,6.4
Tavira,2010,26168,0,13.8,62,24.2,176,3505,13.4,0,343,0,-107,77,54,0,11,25298,96,14,11,2,3,1,3865,0,0,0,134,6,11.6,3204,6549,7,10,843,13,7,58,7414,1318,39,1200,1146,7,530,27775.5,27694.8,-81,36.5,47.2,4454.1,158.4,7,16,14.1,27.4,11.4,18.1,16.8, 1.0,11.1
Terras de Bouro,2010,7353,0,13.6,62.3,24.1,177,25,0.3,0,106,0,-62,27,10,0,3,4810,11,8,4,2,2,2,1189,0,0,1,0,0,3.3,565,1152,16,33,812,2,2,6,2619,392,48,167,420,9,234,9420.1,9911.1,491,83.2,35.1,2939.5,37.5,2,18,16.2,35.2,13.1,17.8,12.2, 0.6,5.0
Tomar,2010,40911,0,13.2,62.2,24.7,187,764,1.9,0,495,0,-188,141,85,1,13,26205,64,34,34,3,5,3,7710,2,2674,0,7,1,8.2,4092,9361,7,18,887,18,3,46,14265,2697,48,1351,1830,7,574,25332.6,26441.3,1109,63.5,35,4242,32.2,10,10,11.4,30.2,11.6,18.7,15.4, 0.9,11.7
Tondela,2010,29165,0,12.2,61,26.7,218,188,0.6,0,387,0,-236,119,51,1,13,17637,72,31,23,4,6,3,4476,0,0,1,0,1,6.4,2601,7531,17,36,919,14,2,33,9840,1282,44,652,897,5,335,21068.8,21921.5,853,76.2,28.9,3718,25.6,5,5,15.0,35.2,13.0,16.2,12.0, 0.6,7.9
Torre de Moncorvo,2010,8681,0,9.1,56.8,34,372,99,1.1,0,131,0,-87,8,20,0,3,7328,7,12,4,1,1,1,983,0,0,1,0,0,11.8,759,1657,23,58,1072,3,2,7,3590,646,54,122,523,11,251,10626.9,11721.9,1095,81.7,46.7,2911.2,34.7,4,2,21.0,36.7,10.1,12.8,11.3, 0.7,7.3
Torres Novas,2010,36825,0,13.7,63,23.3,170,586,1.6,0,460,0,-108,106,90,1,12,20823,65,35,27,4,5,3,6481,1,224,2,119,5,13.2,3538,10899,17,29,970,21,2,52,12141,1948,44,876,1231,5,574,25359.7,27167.5,1808,54.1,30.8,6776.2,43.2,2,2,10.8,28.3,12.0,18.8,16.3, 0.9,12.9
Torres Vedras,2010,79281,0,15.9,65.4,18.8,118,3887,4.9,0,892,0,-115,315,230,3,25,45151,180,60,60,9,12,6,15477,1,319,1,0,5,8.4,9987,27653,5,15,907,37,15,117,18623,3016,32,1977,3072,6,728,41277.5,37462,-3815,41.2,33.5,4390.9,50.8,5,13,11.3,27.7,13.5,20.2,15.0, 1.0,11.3
Trancoso,2010,9986,0,11.4,60.1,28.5,250,132,1.3,0,174,0,-127,45,9,0,6,8313,20,9,6,2,3,2,2474,0,0,0,0,0,11.2,892,2211,17,30,804,6,2,10,3620,395,46,291,225,4,152,10186.8,10895.5,709,87.6,24.6,2822,29.9,5,1,18.5,36.7,8.6,16.3,11.4, 0.7,7.9
Trofa,2010,39015,0,15.8,71.7,12.5,79,688,1.8,0,255,0,102,183,100,1,8,15566,57,20,20,4,5,2,7945,0,0,0,0,0,4.3,3960,15970,8,26,950,20,2,47,6373,582,21,2820,3748,13,385,17211,18248.7,1038,55.3,26.6,4956.6,54.8,6,1,8.0,31.0,16.5,20.2,14.3, 1.1,8.9
Vagos,2010,22848,0,15.2,66.4,18.3,120,450,2,0,193,0,-2,105,56,0,7,12664,82,20,20,2,4,3,4446,0,0,0,0,0,10.9,2521,5975,11,14,847,9,6,29,5598,470,31,366,845,6,201,12000.7,12501.6,501,60.9,35.4,3347.4,50.4,2,2,13.7,30.1,15.1,18.3,12.8, 0.8,9.2
Vale de Cambra,2010,23036,0,12.8,67.2,20,156,298,1.3,0,222,0,-45,106,76,0,6,11839,34,27,19,2,2,1,3701,0,0,0,0,0,8.9,2243,8414,25,36,966,12,1,31,6942,635,38,398,774,5,218,15148,15936.4,788,58.9,22.2,4736.8,64.3,5,3,12.3,32.5,15.4,16.8,12.5, 1.0,9.5
Valença,2010,14161,0,13.4,64.9,21.7,162,571,4,0,152,0,-41,30,39,0,3,8103,39,10,8,1,2,2,2114,1,321,0,0,0,2.8,1535,4790,18,35,848,14,1,18,4048,703,39,456,646,7,329,13941.7,14497.6,556,70.7,63.4,4379.7,34.5,4,7,11.9,33.9,14.4,18.3,13.9, 0.9,6.8
Valongo,2010,93632,0,16.7,70.6,12.7,76,917,1,0,588,0,429,357,289,1,18,40346,102,50,34,9,11,4,18696,0,0,1,179,0,4.8,8959,22725,9,27,917,38,2,85,20048,3416,30,9905,7751,12,869,38463.6,38125.1,-339,47,29.2,3096.4,100.3,11,1,7.1,28.1,15.1,20.1,16.6, 1.1,12.0
Valpaços,2010,17104,0,10.5,58.6,30.9,294,256,1.5,0,286,0,-203,55,44,0,7,13231,39,18,17,2,3,1,2303,0,0,0,0,0,2.6,1394,2485,7,18,715,10,3,15,6706,685,49,976,927,9,240,17422.1,17540.5,118,79.1,35.7,2294.7,30.8,3,3,22.9,39.9,11.2,11.6,8.8, 0.4,5.2
Velas,2010,5436,0,14.5,68.1,17.4,120,55,1,0,82,0,-44,20,5,0,2,3077,6,8,7,1,1,2,988,0,0,0,0,0,3.4,550,1275,19,48,0,4,1,11,1306,269,34,465,121,3,89,5524.3,6206.1,682,87.1,35.3,3286.6,0,7,2,10.8,35.9,14.2,19.8,11.3, 0.8,7.2
Vendas Novas,2010,11864,0,14.1,61.7,24.2,171,212,1.8,0,136,0,-43,41,31,0,4,6400,26,10,9,2,3,1,2166,0,0,0,0,0,8.1,1240,3754,24,22,963,9,1,16,3705,534,42,276,386,5,266,9222.3,8970.9,-251,57.9,28.3,4551.1,77.7,6,2,14.6,29.8,11.9,19.0,14.9, 0.9,8.9
Viana do Alentejo,2010,5760,0,14.9,61.1,24,161,97,1.7,0,95,0,-39,15,21,0,4,3575,8,4,3,2,2,1,1174,0,0,0,0,1,44.4,619,1134,11,45,806,3,2,8,2244,241,51,285,214,6,117,6954.3,7284.7,330,82.9,24.5,3220.6,112.7,3,0,19.0,27.6,13.6,18.2,14.0, 0.7,6.9
Viana do Castelo,2010,89031,0,14.4,67,18.6,130,1090,1.2,0,911,0,-177,411,247,2,23,48161,149,50,47,11,16,10,18441,3,2862,2,358,5,11.7,9235,26602,7,35,917,48,6,109,23067,3935,35,2721,4628,8,893,49805.9,49415.9,-390,59.5,30.9,6557.5,62.2,4,17,10.5,26.1,14.3,19.2,15.4, 0.8,13.9
Vidigueira,2010,5957,0,14.1,60.2,25.7,182,224,3.8,0,90,0,-38,18,22,0,2,3850,2,5,4,1,2,1,1258,0,0,1,0,0,23,587,1154,14,36,839,3,1,9,2218,283,49,391,284,8,181,8803.2,8966.2,163,81.9,31.9,3496.4,134.6,7,0,17.1,29.7,12.3,18.0,14.0, 1.0,8.0
Vieira do Minho,2010,13127,0,14.2,64.2,21.5,151,90,0.7,0,166,0,-65,59,24,0,4,8030,31,11,15,1,1,1,2308,0,0,0,0,0,8,990,2220,10,15,763,4,1,12,4320,573,44,1025,953,11,137,9369.5,9889,520,81.6,50.7,2443.7,19.9,3,3,16.1,33.0,16.6,15.5,11.9, 0.6,6.2
Vila da Praia da Vitória,2010,21033,0,16.8,70,13.1,78,178,0.8,0,211,0,0,102,65,0,6,9496,58,22,18,2,3,2,4117,0,0,0,124,0,18.4,2078,4457,13,26,0,12,1,35,4666,844,31,1969,456,3,187,20907.6,21215.7,308,76.6,34.7,4231.7,66.5,1,7,10.6,33.5,16.1,18.9,12.8, 0.7,7.3
Vila de Rei,2010,3468,0,11,54,35,318,45,1.3,0,88,0,-72,12,3,0,1,2955,14,2,1,1,1,0,364,0,0,0,0,0,12.7,297,631,11,27,667,3,1,5,1517,132,53,93,102,5,129,5751.7,5769.6,18,88.3,34.3,2881.8,83,1,0,22.2,38.4,8.0,14.7,10.6, 1.6,4.5
Vila do Bispo,2010,5269,0,12.3,62.4,25.2,205,787,14.9,0,54,0,-19,17,13,0,2,5888,53,4,6,1,1,0,535,0,0,0,0,0,6.9,760,1996,20,26,861,3,2,12,1452,249,37,127,175,5,257,11136.3,10805.6,-331,40,75.9,6145.7,347.9,7,10,13.6,28.6,12.8,19.7,16.4, 1.0,8.0
Vila do Conde,2010,79411,0,16.4,69.5,14.1,86,1252,1.6,0,589,0,259,377,257,1,17,37566,119,59,44,5,7,3,13622,1,1113,4,0,1,16,7892,26377,5,16,951,31,4,90,18848,2121,31,3958,5705,10,1343,45131.9,52104,6972,41.7,32.6,4853.6,80.7,5,5,8.2,30.2,16.7,18.8,13.6, 0.9,11.6
Vila do Porto,2010,5567,0,17.7,69.8,12.6,71,64,1.1,0,72,0,-13,15,11,0,1,3568,11,7,6,1,1,1,1131,0,0,1,0,0,5.9,605,1160,9,22,0,3,0,4,884,475,30,603,153,4,90,5046,5135.7,90,85.3,25.9,3521.5,3.1,2,4,10.4,29.0,17.1,19.4,14.7, 1.2,8.1
Vila Flor,2010,6772,0,11.1,60.7,28.1,253,145,2.1,0,82,0,-38,26,15,0,2,5175,28,11,7,1,1,1,892,0,0,1,0,0,13.1,630,1394,30,46,848,3,2,6,2227,372,44,205,343,8,158,8176.4,8709.8,533,80.7,40.8,3400,39,9,0,17.9,36.6,12.1,14.8,10.8, 0.5,7.2
Vila Franca de Xira,2010,136224,0,17,69.8,13.2,78,8086,5.9,0,1030,0,613,393,468,1,27,64852,75,55,43,11,14,5,26186,0,0,3,336,0,7.1,12304,41939,15,21,1116,65,5,168,25783,7476,29,4160,6576,7,895,69225.4,68046.2,-1179,37.4,29.9,7586.5,47,5,2,6.6,22.1,12.0,23.0,21.4, 1.3,13.7
Vila Franca do Campo,2010,11216,0,19.7,68.9,11.5,58,57,0.5,0,105,0,23,43,25,0,2,4061,35,10,8,1,1,2,2376,0,0,1,0,0,4.8,1056,1867,16,41,0,7,1,12,1681,351,23,1348,294,4,113,6217.1,7145.9,929,71.8,38.2,1983.3,35.9,6,2,14.9,32.4,20.9,16.3,8.8, 0.6,6.0
Vila Nova da Barquinha,2010,7338,0,14.2,61.6,24.2,171,59,0.8,0,82,0,-25,28,14,0,3,4091,21,6,5,2,2,1,894,0,0,0,0,0,13.6,566,987,10,34,806,2,0,10,2067,744,45,209,241,5,183,10418.7,9756.1,-663,78.3,24.8,2830.5,45.5,3,1,9.9,29.8,13.1,19.1,16.8, 1.1,10.2
Vila Nova de Cerveira,2010,9275,0,13.8,64.6,21.5,156,237,2.6,0,115,0,-34,50,14,0,3,6146,32,7,5,2,3,3,2152,1,206,0,0,0,9.2,980,3681,27,56,922,5,1,8,2770,453,40,178,370,6,257,15589.5,13627.9,-1962,76,43.7,6360.5,38.4,2,5,14.5,29.2,13.4,19.2,14.1, 1.0,8.5
Vila Nova de Famalicão,2010,133849,0,16.3,70.6,13.1,80,1256,0.9,0,941,0,277,516,317,2,27,55106,358,82,71,11,16,10,28801,2,2499,5,19,1,7.7,12413,51979,8,21,919,62,4,137,33122,2286,32,5228,9100,10,1222,71188.4,72171.5,983,42.7,25.9,6425.5,51.4,5,4,8.5,28.7,18.0,19.6,14.2, 0.9,10.0
Vila Nova de Foz Côa,2010,7392,0,11.3,57.9,30.8,273,119,1.6,0,131,0,-88,16,13,0,4,6474,8,6,2,1,1,1,1811,0,0,1,0,0,8.6,684,1174,11,22,819,2,2,8,2508,451,46,266,288,7,167,10086.7,10175.1,88,83.5,27.2,3017.3,36.3,1,1,18.5,38.3,10.4,12.9,11.5, 0.7,7.7
Vila Nova de Gaia,2010,302313,0,15.7,69.7,14.6,93,4972,1.6,0,2282,0,711,1006,953,3,62,141945,195,148,114,20,31,17,53581,7,3125,3,482,31,21.8,30090,83916,4,16,1033,125,4,318,70827,10777,32,31315,27753,13,1868,103660.3,110911.8,7252,33.6,31.3,4175.7,43.7,15,18,7.4,27.7,13.3,19.5,16.2, 1.1,14.8
Vila Nova de Paiva,2010,5238,0,13.4,60.8,25.7,192,31,0.6,0,71,0,-37,24,9,0,1,4378,22,5,5,1,2,1,883,0,0,0,0,0,7.1,429,763,7,35,703,2,1,4,1622,190,40,193,358,11,132,6023.5,6635.2,612,81.1,34.2,2554.8,27.1,6,0,19.8,30.8,14.3,16.2,11.6, 0.5,6.8
Vila Nova de Poiares,2010,7280,0,16,65.9,18.1,113,190,2.6,0,85,0,-12,21,23,0,2,4554,15,4,4,1,1,1,1499,0,0,0,0,0,20,804,2431,25,57,779,2,1,6,1895,288,36,525,282,6,162,7309.6,7419.2,110,76.4,24,3219.6,42.3,2,0,13.0,30.9,12.9,21.9,14.0, 0.8,6.5
Vila Pouca de Aguiar,2010,13323,0,12.1,61.9,26,214,116,0.9,0,172,0,-82,54,25,0,4,10022,31,15,7,2,2,1,1978,0,0,1,0,0,5,1184,2555,13,56,741,8,1,13,4638,691,46,668,759,9,240,14340.8,15404.9,1064,77.3,36,3323,44.2,4,3,17.8,38.5,11.6,14.5,10.3, 0.4,7.0
Vila Real,2010,51875,0,15.1,67.7,17.2,114,716,1.4,0,446,0,53,232,132,1,13,29829,113,49,47,4,6,6,11561,2,7368,4,414,7,15.6,5318,12268,6,14,913,28,5,75,12172,3718,36,2455,2882,8,427,26302.2,24216.9,-2085,60.4,26,3479.3,18.8,1,4,10.1,25.2,10.4,17.7,16.8, 0.7,19.0
Vila Real de Santo António,2010,19118,0,15.7,65.9,18.4,117,1983,10.4,0,213,0,11,51,50,0,5,19591,91,7,7,3,4,2,4072,0,0,0,45,0,4.8,2408,5757,9,14,876,19,3,34,4815,1097,37,1608,1208,10,493,53162.3,51991.1,-1171,10.8,51.8,4295.6,213.3,4,19,9.8,28.3,13.5,21.7,16.8, 1.0,8.9
Vila Velha de Ródão,2010,3562,0,6.7,53.5,39.9,599,50,1.4,0,97,0,-80,6,2,0,1,3411,7,2,2,1,1,0,221,0,0,0,0,1,8.8,256,795,40,87,1145,2,0,6,1770,276,62,50,82,4,150,6764.8,7012.8,248,77.4,23,52218.6,3.6,1,0,18.9,43.7,8.8,13.5,9.5, 0.2,5.4
Vila Verde,2010,48014,0,17.1,66.3,16.6,97,243,0.5,0,434,0,9,222,66,1,11,22869,143,54,41,5,7,2,10168,0,0,0,0,0,6.6,4117,11690,7,13,750,19,4,42,12286,988,33,437,2249,7,416,24426,25965,1539,67.9,34.7,2435.2,29.6,5,3,14.2,30.3,16.1,18.8,12.8, 0.7,7.1
Vila Viçosa,2010,8375,0,12.8,65,22.2,173,97,1.2,0,96,0,-40,29,23,0,5,4752,5,5,6,1,1,1,1528,0,0,0,0,1,11.6,872,2351,12,24,927,3,3,12,2876,417,45,448,357,7,174,6934.9,7144.9,210,63.3,14.2,5747.1,51.8,7,3,14.9,29.2,13.7,17.0,15.9, 0.8,8.4
Vimioso,2010,4738,0,9.7,53.3,37,381,39,0.8,0,89,0,-60,15,6,0,3,4619,21,2,2,1,1,0,428,0,0,0,0,0,18.6,498,700,4,18,696,4,1,5,2042,266,54,87,179,7,142,10530,9806.4,-724,93.1,40.7,2705.3,29.8,17,1,23.2,38.2,11.1,12.8,8.5, 0.4,5.7
Vinhais,2010,9205,0,8.4,53.7,37.9,452,39,0.4,0,174,0,-141,16,14,0,3,6987,13,9,5,1,1,1,805,0,0,0,0,0,17.3,698,1156,6,16,719,3,2,6,4188,578,57,345,393,8,198,12379.3,12260,-119,89.1,23,2199.3,30.3,4,1,21.2,39.9,14.2,10.5,8.7, 0.5,5.0
Viseu,2010,99114,0,15.8,66.7,17.6,111,2191,2.2,0,877,0,85,475,265,2,23,53906,259,75,71,11,14,6,21295,9,6796,3,248,13,15,10425,26725,4,14,893,65,3,153,22454,6151,34,4839,5391,8,978,59169.4,56587.8,-2582,56.3,33.2,3741.5,37.9,8,13,9.9,25.7,11.3,18.1,16.4, 0.8,17.8
Vizela,2010,23739,0,17,72.1,10.9,64,140,0.6,0,151,0,63,108,54,0,5,9030,47,11,12,4,5,2,4986,0,0,0,0,3,9.2,1819,8284,13,20,685,11,1,15,4467,285,24,621,2012,12,311,11371.3,11491.1,120,66.4,38.3,3906.8,42.1,4,0,9.9,34.3,17.4,19.8,11.9, 0.6,6.1
Vouzela,2010,10656,0,12.7,60.7,26.6,210,92,0.9,0,138,0,-71,26,21,0,4,6679,20,14,10,2,3,2,1676,0,0,1,0,0,16.6,947,2280,16,30,762,2,2,15,3692,438,45,160,323,5,179,9657.7,10299.6,642,77.3,31,2937.2,26.1,7,1,14.7,36.7,13.7,15.7,11.2, 0.7,7.1